堑 塹
堕 墮
垴 堖
埚 堝
阶 堦
尧 堯
报 報
场 場
碱 堿
塆 壪
块 塊
茔 塋
垲 塏
埘 塒
涂 塗
冢 塚
坞 塢
埙 塤
场 塲
尘 塵
堑 塹
砖 塼
垫 墊
墙 牆
坠 墜
硗 墝
堕 墮
坛 墰
坟 墳
垯 墶
墙 墻
垦 墾
坛 壇
垱 壋
埙 壎
压 壓
垒 壘
圹 壙
垆 壚
坛 壜
坏 壞
垄 壟
垄 壠
坜 壢
坝 壩
塆 壪
壮 壯
壮 壯
声 聲
壳 殼
壶 壺
壸 壼
壶 壺
壸 壼
寿 壽
寿 夀
处 處
备 備
复 複
够 夠
够 夠
梦 夢
伙 夥
头 頭
夸 誇
夹 夾
夺 奪
夹 夾
奁 奩
奂 奐
奋 奮
奂 奐
奖 獎
奥 奧
奥 奧
奁 奩
夺 奪
奋 奮
妆 妝
妇 婦
妈 媽
妆 妝
妩 嫵
妪 嫗
妫 媯
姗 姍
姗 姍
姜 薑
奸 姦
侄 姪
娄 婁
娅 婭
娆 嬈
娇 嬌
娈 孌
娱 娛
妩 娬
娱 娛
娲 媧
娴 嫻
娄 婁
妇 婦
淫 婬
娅 婭
婳 嫿
婴 嬰
婵 嬋
婶 嬸
娲 媧
媪 媼
偷 媮
妫 媯
媪 媼
妈 媽
袅 嫋
嫒 嬡
嫔 嬪
妪 嫗
嫱 嬙
妩 嫵
娴 嫺
娴 嫻
婳 嫿
妫 嬀
娆 嬈
婵 嬋
娇 嬌
嫱 嬙
袅 嬝
嫒 嬡
嬷 嬤
嫔 嬪
奶 嬭
婴 嬰
嬷 嬤
婶 嬸
懒 嬾
娘 孃
娈 孌
孙 孫
学 學
孪 孿
孙 孫
学 學
孪 孿
宁 寧
宝 寶
实 實
宠 寵
审 審
宪 憲
宫 宮
宫 宮
宽 寬
宾 賓
寝 寢
寝 寢
实 實
宁 寧
审 審
写 寫
宽 寬
宠 寵
宝 寶
对 對
寻 尋
导 導
寿 壽
将 將
将 將
专 專
寻 尋
对 對
导 導
尔 爾
尘 塵
尝 嘗
尧 堯
尴 尲
尴 尷
尴 尷
尸 屍
尽 盡
层 層
屃 屭
届 屆
屉 屜
届 屆
尸 屍
屃 屓
屉 屜
属 屬
屡 屢
屡 屢
层 層
屦 屨
屦 屨
属 屬
屃 屭
屿 嶼
岁 歲
岂 豈
岖 嶇
岗 崗
岘 峴
岙 嶴
岚 嵐
岛 島
冈 岡
岭 嶺
岳 嶽
岽 崠
岿 巋
峃 嶨
峄 嶧
峡 峽
峣 嶢
峤 嶠
峥 崢
峦 巒
岘 峴
岛 島
峡 峽
崂 嶗
崃 崍
崄 嶮
崃 崍
昆 崐
昆 崑
岗 崗
仑 崙
岽 崠
峥 崢
岽 崬
崭 嶄
嵛 崳
岚 嵐
岁 嵗
嵘 嶸
嵚 嶔
嵛 崳
嵝 嶁
嵴 脊
嵝 嶁
崭 嶄
岖 嶇
嵚 嶔
崂 嶗
峤 嶠
峣 嶢
峄 嶧
峃 嶨
崄 嶮
岙 嶴
嵘 嶸
岭 嶺
屿 嶼
岳 嶽
巅 巔
岿 巋
峦 巒
巅 巔
岩 巖
巩 鞏
巯 巰
巯 巰
卺 巹
币 幣
帅 帥
师 師
帏 幃
帐 帳
帘 簾
帜 幟
帅 帥
带 帶
帧 幀
师 師
帮 幫
帱 幬
帐 帳
带 帶
帻 幘
帼 幗
帧 幀
幂 冪
帏 幃
帼 幗
帻 幘
幞 襆
帜 幟
币 幣
帮 幫
帱 幬
襕 幱
干 幹
并 並
干 幹
几 幾
广 廣
庄 莊
庆 慶
庐 廬
庑 廡
库 庫
应 應
庙 廟
庞 龐
废 廢
库 庫
庼 廎
厕 廁
厢 廂
厩 廄
厦 廈
庼 廎
荫 廕
厨 廚
厮 廝
庙 廟
厂 廠
庑 廡
废 廢
广 廣
廪 廩
廪 廩
庐 廬
厅 廳
回 廻
乃 廼
开 開
异 異
弃 棄
吊 弔
张 張
弥 彌
弪 弳
弯 彎
弪 弳
张 張
强 強
弹 彈
别 彆
弹 彈
弥 彌
弯 彎
归 歸
当 當
录 錄
汇 彙
彝 彜
彝 彞
彟 彠
彟 彠
彦 彥
彦 彥
雕 彫
彻 徹
佛 彿
径 徑
后 後
径 徑
徕 徠
从 從
徕 徠
御 禦
复 復
彷 徬
征 徴
征 徵
彻 徹
忆 憶
忏 懺
忧 憂
忾 愾
怀 懷
态 態
怂 慫
怃 憮
怄 慪
怅 悵
怆 愴
怜 憐
总 總
怼 懟
怿 懌
恒 恆
恋 戀
耻 恥
恳 懇
恶 惡
恸 慟
恹 懨
恺 愷
恻 惻
恼 惱
恽 惲
悦 悅
悦 悅
悫 愨
悬 懸
悭 慳
悯 憫
怅 悵
闷 悶
凄 悽
惊 驚
恶 惡
惧 懼
惨 慘
惩 懲
惫 憊
惬 愜
惭 慚
惮 憚
惯 慣
恼 惱
恽 惲
恻 惻
愍 湣
爱 愛
惬 愜
愠 慍
愤 憤
愦 憒
悫 愨
怆 愴
恺 愷
忾 愾
愿 願
栗 慄
殷 慇
态 態
愠 慍
慑 懾
惨 慘
惭 慙
惭 慚
恸 慟
惯 慣
悫 慤
怄 慪
怂 慫
慭 憖
虑 慮
悭 慳
慑 慴
庆 慶
戚 慼
欲 慾
忧 憂
惫 憊
怜 憐
凭 憑
愦 憒
慭 憖
惮 憚
愤 憤
悯 憫
怃 憮
宪 憲
忆 憶
憷 怵
恳 懇
应 應
怿 懌
懔 懍
懑 懣
懒 懶
懔 懍
恹 懕
蒙 懞
怼 懟
懑 懣
恹 懨
惩 懲
懒 懶
怀 懷
悬 懸
忏 懺
惧 懼
欢 懽
慑 懾
恋 戀
戆 戇
戆 戇
戋 戔
戏 戲
戋 戔
戗 戧
战 戰
戗 戧
戬 戩
戬 戩
戏 戯
战 戰
戏 戲
户 戶
户 戶
扎 紮
扑 撲
扦 扡
扦 扡
执 執
扩 擴
扪 捫
扫 掃
扬 揚
扰 擾
抚 撫
抛 拋
抟 摶
抠 摳
抡 掄
抢 搶
护 護
报 報
担 擔
抛 拋
拟 擬
拢 攏
拣 揀
拥 擁
拦 攔
拧 擰
拨 撥
择 擇
挂 掛
挚 摯
挛 攣
挜 掗
挝 撾
挞 撻
挟 挾
挠 撓
挡 擋
挢 撟
挣 掙
挤 擠
挥 揮
挦 撏
挟 挾
捞 撈
损 損
捡 撿
换 換
捣 搗
舍 捨
扪 捫
据 據
卷 捲
捻 撚
扫 掃
抡 掄
挜 掗
挣 掙
挂 掛
采 採
掳 擄
掴 摑
掷 擲
掸 撣
掺 摻
掼 摜
拣 揀
